group,model,learning_rate,accuracy,auc,f1,f1_0,scaled_mcc,precision,recall,specificity,weighted_score
efficientnet,S,0.0005,0.8620689655172413,0.9523809523809524,0.8461538461538461,0.8749999999999999,0.8647726099313322,0.9166666666666666,0.7857142857142857,0.9333333333333333,0.8800752747966744
inception,Inception,0.0001,0.9655172413793104,0.9952380952380953,0.9655172413793104,0.9655172413793104,0.9666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9716912972085388
inception,Inception,0.0005,0.9655172413793104,0.9952380952380953,0.962962962962963,0.967741935483871,0.9665125170576119,1.0,0.9285714285714286,1.0,0.9715945504243703
mobilenet,MobileNet,0.0001,0.7241379310344828,0.9047619047619048,0.6,0.7894736842105263,0.7643402663188406,1.0,0.42857142857142855,1.0,0.7565427572651509
mobilenet,MobileNet,0.0005,0.896551724137931,0.9476190476190477,0.888888888888889,0.9032258064516129,0.8971337324695567,0.9230769230769231,0.8571428571428571,0.9333333333333333,0.9066838399134074
resnet,ResNet101,0.0001,0.9655172413793104,1.0,0.9655172413793104,0.9655172413793104,0.9666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9726436781609197
resnet,ResNet101,0.0005,0.8620689655172413,0.9095238095238096,0.8461538461538461,0.8749999999999999,0.8647726099313322,0.9166666666666666,0.7857142857142857,0.9333333333333333,0.8715038462252458
resnet,ResNet101,0.001,0.7586206896551724,0.8666666666666667,0.6956521739130435,0.8,0.772602584933029,0.8888888888888888,0.5714285714285714,0.9333333333333333,0.7787084230335823
resnet,ResNet152,0.0001,0.9310344827586207,0.9619047619047619,0.9285714285714286,0.9333333333333333,0.930952380952381,0.9285714285714286,0.9285714285714286,0.9333333333333333,0.9371592775041051
resnet,ResNet152,0.0005,0.8275862068965517,0.8571428571428571,0.8,0.8484848484848485,0.8334776022573498,0.9090909090909091,0.7142857142857143,0.9333333333333333,0.8333383029563215
resnet,ResNet152,0.001,0.6551724137931034,0.7380952380952381,0.4444444444444445,0.7499999999999999,0.7070196678027063,1.0,0.2857142857142857,1.0,0.6589463528270985
resnet,ResNet50,0.0001,0.9655172413793104,0.9904761904761905,0.962962962962963,0.967741935483871,0.9665125170576119,1.0,0.9285714285714286,1.0,0.9706421694719893
resnet,ResNet50,0.0005,0.8275862068965517,0.9285714285714286,0.8148148148148148,0.8387096774193549,0.8277549478815016,0.8461538461538461,0.7857142857142857,0.8666666666666667,0.8474874151167304
resnet,ResNet50,0.001,0.7586206896551724,0.8333333333333333,0.7586206896551724,0.7586206896551724,0.7595238095238095,0.7333333333333333,0.7857142857142857,0.7333333333333333,0.7737438423645321
vgg,VGG16,0.0001,0.5172413793103449,0.5333333333333333,0.125,0.6666666666666667,0.5046953014151584,0.5,0.07142857142857142,0.9333333333333333,0.4693873361451007
vgg,VGG19,0.0001,0.4482758620689655,0.41904761904761906,0.2,0.5789473684210527,0.42363503417455717,0.3333333333333333,0.14285714285714285,0.7333333333333333,0.4139811767424389
