group,model,learning_rate,accuracy,auc,f1,f1_0,scaled_mcc,precision,recall,specificity,weighted_score
efficientnet,M,0.0001,0.8020477815699659,0.8787444008958567,0.7979094076655052,0.8060200668896321,0.8021985165840981,0.7842465753424658,0.8120567375886525,0.7927631578947368,0.8173840347210117
efficientnet,M,0.0005,0.7542662116040956,0.8557180851063829,0.7446808510638298,0.7631578947368421,0.753919372900336,0.7446808510638298,0.7446808510638298,0.7631578947368421,0.7743484830822972
efficientnet,S,0.0001,0.7832764505119454,0.8889977603583428,0.7711711711711712,0.7941653160453809,0.7828537964357739,0.7838827838827839,0.7588652482269503,0.805921052631579,0.8040928989045228
efficientnet,S,0.0005,0.7986348122866894,0.8841452034341173,0.7862318840579711,0.8096774193548387,0.798291386914028,0.8037037037037037,0.7695035460992907,0.8256578947368421,0.8153961412095289
inception,Inception,0.0001,0.7627986348122867,0.8566745987308698,0.7607573149741824,0.7648054145516073,0.7634239368283546,0.7391304347826086,0.7836879432624113,0.743421052631579,0.7816919799794603
inception,Inception,0.0005,0.7781569965870307,0.8716871967151922,0.7653429602888088,0.7896440129449839,0.7777211287392464,0.7794117647058824,0.75177304964539,0.8026315789473685,0.7965104590550525
mobilenet,MobileNet,0.0001,0.6706484641638225,0.7886921425905188,0.5720620842572062,0.7323162274618586,0.6797055543862198,0.7633136094674556,0.4574468085106383,0.868421052631579,0.6886848945719252
mobilenet,MobileNet,0.0005,0.7303754266211604,0.8149146136618142,0.7074074074074075,0.7499999999999999,0.7299404913665372,0.7403100775193798,0.6773049645390071,0.7796052631578947,0.7465275878113838
resnet,ResNet101,0.0001,0.8003412969283277,0.8854283314669652,0.7950963222416814,0.8053244592346088,0.8003247221097057,0.7854671280276817,0.8049645390070922,0.7960526315789473,0.8173030263962577
resnet,ResNet101,0.0005,0.7252559726962458,0.8125466592011945,0.7130124777183601,0.7364975450081834,0.7247740629866979,0.7168458781362007,0.7092198581560284,0.7401315789473685,0.7424173435221363
resnet,ResNet101,0.001,0.6638225255972696,0.7587835946248601,0.5870020964360587,0.7165467625899281,0.6672901010276168,0.717948717948718,0.49645390070921985,0.819078947368421,0.6786890160551466
resnet,ResNet152,0.0001,0.78839590443686,0.8716638671145951,0.7854671280276817,0.7912457912457912,0.7888068320309926,0.7668918918918919,0.8049645390070922,0.7730263157894737,0.805115904571184
resnet,ResNet152,0.0005,0.7064846416382252,0.7593668346397909,0.6779026217228465,0.7304075235109717,0.7060288389104308,0.7182539682539683,0.6418439716312057,0.7664473684210527,0.7160380920844531
resnet,ResNet152,0.001,0.6348122866894198,0.6473847517730497,0.58203125,0.6757575757575758,0.6340026724462988,0.6478260869565218,0.5283687943262412,0.7335526315789473,0.6347977073332689
resnet,ResNet50,0.0001,0.7798634812286689,0.8844484882418813,0.7708703374777973,0.7881773399014778,0.7795261147578025,0.7722419928825622,0.7695035460992907,0.7894736842105263,0.8005771523215255
resnet,ResNet50,0.0005,0.7201365187713311,0.8134448488241882,0.6809338521400777,0.7507598784194528,0.7212285614117491,0.7543103448275862,0.6205673758865248,0.8125,0.7373007319133598
resnet,ResNet50,0.001,0.6945392491467577,0.7349874020156775,0.6715596330275229,0.7145135566188197,0.6937715361679258,0.6958174904942965,0.648936170212766,0.7368421052631579,0.7018742753953408
vgg,VGG16,0.0001,0.5204778156996587,0.5195152108995894,0.1710914454277286,0.6626650660264105,0.5090475547917438,0.5087719298245614,0.10283687943262411,0.9078947368421053,0.4765594185690262
vgg,VGG19,0.0001,0.45733788395904434,0.42270903322135117,0.22058823529411764,0.5837696335078534,0.4350117627276056,0.35714285714285715,0.1595744680851064,0.7335526315789473,0.42388330974199445
