pid,group,name,slice,otsu_foreground,huang_foreground,otsu_foreground_ratio,huang_foreground_ratio,otsu_foreground_normalized,huang_foreground_normalized
13,13,10,4,4253,5336,0.0648956298828125,0.0814208984375,0.2895955331608335,0.2724255884004697
13,13,10,5,5003,6790,0.0763397216796875,0.103607177734375,0.3406645785101457,0.3466584979833563
13,13,10,6,6000,8484,0.091552734375,0.12945556640625,0.40855236279449814,0.4331444325317813
13,13,10,7,7038,10351,0.107391357421875,0.1579437255859375,0.47923192155794636,0.5284627559095318
13,13,10,8,7765,11656,0.1184844970703125,0.1778564453125,0.5287348495165464,0.5950885791596467
13,13,10,9,8498,12635,0.129669189453125,0.1927947998046875,0.5786463298379408,0.6450707101649052
13,13,10,10,9139,13763,0.1394500732421875,0.2100067138671875,0.6222933405964864,0.7026599275029356
13,13,10,11,10544,16086,0.160888671875,0.245452880859375,0.7179626855508647,0.8212589983152091
13,13,10,12,10697,17202,0.1632232666015625,0.262481689453125,0.7283807708021245,0.8782355644049624
13,13,10,13,12979,18801,0.1980438232421875,0.2868804931640625,0.8837668527849653,0.9598713432378618
13,13,10,14,14024,19587,0.2139892578125,0.2988739013671875,0.9549230559716737,1.0
13,13,10,15,14686,19252,0.224090576171875,0.29376220703125,1.0,0.982896819318936
13,13,10,16,14065,19006,0.2146148681640625,0.290008544921875,0.9577148304507694,0.9703374687292592
13,13,10,17,13678,19340,0.208709716796875,0.29510498046875,0.9313632030505243,0.9873895951396334
13,13,10,18,11736,17663,0.1790771484375,0.2695159912109375,0.7991284216260384,0.901771583192934
13,13,10,19,11064,17119,0.1688232421875,0.2612152099609375,0.7533705569930547,0.8739980599377138
13,13,10,20,10291,16114,0.1570281982421875,0.245880126953125,0.7007353942530301,0.8226885178945219
13,13,10,21,10358,15408,0.158050537109375,0.235107421875,0.7052975623042353,0.7866442027875632
13,13,10,22,8376,12192,0.1278076171875,0.18603515625,0.5703390984611194,0.6224536682493491
13,13,10,23,7486,11322,0.114227294921875,0.172760009765625,0.5097371646466022,0.5780364527492725
13,13,10,24,6554,10029,0.100006103515625,0.1530303955078125,0.4462753642925235,0.5120232807474345
13,13,10,25,5488,7467,0.083740234375,0.1139373779296875,0.3736892278360343,0.38122223924031245
13,13,10,26,3818,5242,0.058258056640625,0.079986572265625,0.25997548685823235,0.26762648695563385
13,13,10,27,4046,4734,0.061737060546875,0.072235107421875,0.2755004766444233,0.2416909174452443
13,13,10,28,3890,4265,0.059356689453125,0.0650787353515625,0.2648781152117663,0.21774646449175475
13,13,10,29,3151,3522,0.0480804443359375,0.053741455078125,0.21455808252757727,0.17981314136927554
13,13,10,30,2159,2418,0.0329437255859375,0.036895751953125,0.1470107585455536,0.12344922652779905
14,14,2,1,2790,3335,0.042572021484375,0.0508880615234375,0.2116843702579666,0.14136147846727704
14,14,2,2,3660,4488,0.05584716796875,0.0684814453125,0.27769347496206376,0.19023397761953204
14,14,2,3,4108,5962,0.06268310546875,0.090972900390625,0.31168437025796664,0.2527127839945744
14,14,2,4,4314,7254,0.065826416015625,0.110687255859375,0.32731411229135055,0.30747711088504576
14,14,2,5,5260,9064,0.08026123046875,0.1383056640625,0.3990895295902883,0.38419803323160395
14,14,2,6,6050,11198,0.092315673828125,0.170867919921875,0.4590288315629742,0.4746524245506952
14,14,2,7,6653,13704,0.1015167236328125,0.2091064453125,0.5047799696509864,0.5808748728382502
14,14,2,8,7174,15267,0.109466552734375,0.2329559326171875,0.544309559939302,0.6471261444557477
14,14,2,9,7096,16393,0.1082763671875,0.2501373291015625,0.538391502276176,0.6948541878602916
14,14,2,10,7547,17994,0.1151580810546875,0.274566650390625,0.5726100151745068,0.7627161749745677
14,14,2,11,9396,19652,0.14337158203125,0.29986572265625,0.7128983308042489,0.8329942353340115
14,14,2,12,9309,20831,0.1420440673828125,0.3178558349609375,0.7062974203338391,0.8829688029840624
14,14,2,13,11969,22645,0.1826324462890625,0.3455352783203125,0.9081183611532625,0.9598592743302814
14,14,2,14,12794,23104,0.195220947265625,0.3525390625,0.9707132018209408,0.97931502204137
14,14,2,15,13180,22402,0.20111083984375,0.341827392578125,1.0,0.9495591726008816
14,14,2,16,12968,23592,0.1978759765625,0.3599853515625,0.9839150227617602,1.0
14,14,2,17,12051,22586,0.1838836669921875,0.344635009765625,0.914339908952959,0.9573584265852831
14,14,2,18,10152,21899,0.1549072265625,0.3341522216796875,0.770257966616085,0.9282383858935233
14,14,2,19,9608,21372,0.1466064453125,0.32611083984375,0.7289833080424886,0.9059003051881994
14,14,2,20,8808,20028,0.1343994140625,0.30560302734375,0.6682852807283763,0.8489318413021363
14,14,2,21,8588,18876,0.13104248046875,0.28802490234375,0.6515933232169955,0.8001017293997965
14,14,2,22,7255,15778,0.1107025146484375,0.240753173828125,0.5504552352048558,0.6687860291624279
14,14,2,23,7123,14399,0.1086883544921875,0.2197113037109375,0.5404400606980273,0.610334011529332
14,14,2,24,6326,12250,0.096527099609375,0.186920166015625,0.4799696509863429,0.5192438114615123
14,14,2,25,6291,10013,0.0959930419921875,0.1527862548828125,0.4773141122913505,0.4244235334011529
14,14,2,26,5302,8694,0.080902099609375,0.132659912109375,0.40227617602427923,0.3685147507629705
14,14,2,27,5015,7245,0.0765228271484375,0.1105499267578125,0.38050075872534145,0.3070956256358087
14,14,2,28,4564,5711,0.06964111328125,0.0871429443359375,0.3462822458270106,0.24207358426585282
14,14,2,29,2820,3772,0.04302978515625,0.05755615234375,0.21396054628224584,0.15988470668023058
14,14,2,30,2023,2373,0.0308685302734375,0.0362091064453125,0.15349013657056146,0.10058494404883012
15,14,3,1,2059,2673,0.0314178466796875,0.0407867431640625,0.1554548886372216,0.10781703775411423
15,14,3,2,3043,3934,0.0464324951171875,0.060028076171875,0.22974707436768593,0.15868021942562116
15,14,3,3,3375,4717,0.0514984130859375,0.0719757080078125,0.2548131370328426,0.19026298806066472
15,14,3,4,3391,5488,0.0517425537109375,0.083740234375,0.25602114005285015,0.22136172959019038
15,14,3,5,3287,6733,0.0501556396484375,0.1027374267578125,0.24816912042280106,0.27157954178767346
15,14,3,6,4431,9589,0.0676116943359375,0.1463165283203125,0.3345413363533409,0.3867779929009358
15,14,3,7,5687,12293,0.0867767333984375,0.1875762939453125,0.42936957342393356,0.4958454340109713
